"category","activeSlot","monthlyPipelineTarget","minimumActivityRule","partnerOffer","nextAction"
"Planning consultants","Planning consultants 1","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Planning consultants","Planning consultants 2","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Planning consultants","Planning consultants 3","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Planning consultants","Planning consultants 4","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Planning consultants","Planning consultants 5","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Architects","Architects 1","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Architects","Architects 2","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Architects","Architects 3","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Architects","Architects 4","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Solicitors","Solicitors 1","2666667","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Solicitors","Solicitors 2","2666667","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Solicitors","Solicitors 3","2666667","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Accountants","Accountants 1","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Accountants","Accountants 2","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"QS and project monitors","QS and project monitors 1","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"QS and project monitors","QS and project monitors 2","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Specialist finance brokers","Specialist finance brokers 1","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Specialist finance brokers","Specialist finance brokers 2","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Valuers","Valuers 1","2500000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
"Land agents and development-site agents","Land agents and development-site agents 1","2000000","Active only when they have sent at least one qualified opportunity in the last 60 days or two in the last quarter.","24-hour funding view, white-labelled client review, clear referral fee, co-branded funding article where relevant.","Identify named principal, connect on LinkedIn, email introducer proposition, follow with phone call."
